Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
media_leaf,amber-leaf2,Ethernet4,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet5,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet6,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet7,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet8,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet9,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet10,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet11,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet12,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet13,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet14,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet15,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet16,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet17,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet18,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet19,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet20,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet21,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet22,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet23,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet24,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet25,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet26,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet27,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet28,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet29,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet30,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet31,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet32,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet33,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet34,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet35,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet36,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet37,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet38,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet39,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet40,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet41,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet42,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet43,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet44,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet45,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet46,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet47,network_port,AMBER_VLAN112,,False
media_leaf,amber-leaf2,Ethernet48,network_port,AMBER_VLAN112,,False
media_spine,amber-spine1,Ethernet1,media_leaf,amber-leaf1,Ethernet1,True
media_spine,amber-spine1,Ethernet2,media_leaf,amber-leaf1,Ethernet2,True
media_spine,amber-spine1,Ethernet3,media_leaf,amber-leaf2,Ethernet1,True
media_spine,amber-spine1,Ethernet4,media_leaf,amber-leaf2,Ethernet2,True
media_spine,amber-spine1,Ethernet5,ptp_leaf,media-PTP-1,Ethernet1,True
media_spine,amber-spine1,Ethernet6,ptp_leaf,media-PTP-2,Ethernet1,True
media_leaf,blue-leaf1,Ethernet1,media_spine,blue-spine1,Ethernet1,True
media_leaf,blue-leaf1,Ethernet2,media_spine,blue-spine1,Ethernet2,True
media_leaf,blue-leaf1,Ethernet3,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet4,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet5,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet6,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet7,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet8,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet9,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet10,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet11,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet12,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet13,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet14,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet15,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet16,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet17,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet18,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet19,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet20,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet21,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet22,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet23,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet24,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet25,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet26,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet27,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet28,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet29,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet30,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet31,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet32,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet33,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet34,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet35,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet36,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet37,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet38,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet39,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet40,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet41,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet42,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet43,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet44,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet45,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet46,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet47,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf1,Ethernet48,network_port,BLUE_VLAN211,,False
media_leaf,blue-leaf2,Ethernet1,media_spine,blue-spine1,Ethernet3,True
media_leaf,blue-leaf2,Ethernet2,media_spine,blue-spine1,Ethernet4,True
media_leaf,blue-leaf2,Ethernet3,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet4,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet5,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet6,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet7,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet8,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet9,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet10,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet11,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet12,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet13,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet14,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet15,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet16,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet17,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet18,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet19,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet20,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet21,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet22,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet23,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet24,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet25,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet26,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet27,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet28,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet29,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet30,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet31,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet32,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet33,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet34,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet35,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet36,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet37,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet38,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet39,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet40,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet41,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet42,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet43,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet44,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet45,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet46,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet47,network_port,BLUE_VLAN212,,False
media_leaf,blue-leaf2,Ethernet48,network_port,BLUE_VLAN212,,False
media_spine,blue-spine1,Ethernet1,media_leaf,blue-leaf1,Ethernet1,True
media_spine,blue-spine1,Ethernet2,media_leaf,blue-leaf1,Ethernet2,True
media_spine,blue-spine1,Ethernet3,media_leaf,blue-leaf2,Ethernet1,True
media_spine,blue-spine1,Ethernet4,media_leaf,blue-leaf2,Ethernet2,True
media_spine,blue-spine1,Ethernet5,ptp_leaf,media-PTP-1,Ethernet2,True
media_spine,blue-spine1,Ethernet6,ptp_leaf,media-PTP-2,Ethernet2,True
ptp_leaf,media-PTP-1,Ethernet1,media_spine,amber-spine1,Ethernet5,True
ptp_leaf,media-PTP-1,Ethernet2,media_spine,blue-spine1,Ethernet5,True
ptp_leaf,media-PTP-1,Ethernet3,ptp_leaf,media-PTP-2,Ethernet3,True
ptp_leaf,media-PTP-1,Ethernet4,ptp_leaf,media-PTP-2,Ethernet4,True
ptp_leaf,media-PTP-1,Ethernet5,network_port,PTP Grandmaster 1,,True
ptp_leaf,media-PTP-1,Ethernet6,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet7,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet8,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet9,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet10,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet11,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet12,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet13,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet14,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet15,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet16,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet17,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet18,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet19,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet20,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet21,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet22,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet23,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet24,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet25,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet26,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet27,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet28,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet29,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet30,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet31,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet32,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet33,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet34,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet35,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet36,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet37,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet38,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet39,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet40,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet41,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet42,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet43,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet44,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet45,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet46,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet47,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-1,Ethernet48,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet1,media_spine,amber-spine1,Ethernet6,True
ptp_leaf,media-PTP-2,Ethernet2,media_spine,blue-spine1,Ethernet6,True
ptp_leaf,media-PTP-2,Ethernet3,ptp_leaf,media-PTP-1,Ethernet3,True
ptp_leaf,media-PTP-2,Ethernet4,ptp_leaf,media-PTP-1,Ethernet4,True
ptp_leaf,media-PTP-2,Ethernet5,network_port,PTP Grandmaster 2,,True
ptp_leaf,media-PTP-2,Ethernet6,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet7,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet8,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet9,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet10,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet11,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet12,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet13,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet14,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet15,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet16,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet17,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet18,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet19,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet20,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet21,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet22,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet23,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet24,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet25,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet26,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet27,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet28,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet29,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet30,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet31,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet32,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet33,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet34,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet35,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet36,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet37,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet38,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet39,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet40,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet41,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet42,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet43,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet44,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet45,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet46,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet47,network_port,Routed Endpoints,,False
ptp_leaf,media-PTP-2,Ethernet48,network_port,Routed Endpoints,,False
